Changed database context to 'adventureworks'.
ProductName                                        Category                                           ProductType
-------------------------------------------------- -------------------------------------------------- -----------
Mountain-100 Silver, 38                            Mountain Bikes                                     Bikes      
Mountain-100 Silver, 42                            Mountain Bikes                                     Bikes      
Mountain-100 Silver, 44                            Mountain Bikes                                     Bikes      
Mountain-100 Silver, 48                            Mountain Bikes                                     Bikes      
Mountain-100 Black, 38                             Mountain Bikes                                     Bikes      
Mountain-100 Black, 42                             Mountain Bikes                                     Bikes      
Mountain-100 Black, 44                             Mountain Bikes                                     Bikes      
Mountain-100 Black, 48                             Mountain Bikes                                     Bikes      
Mountain-200 Silver, 38                            Mountain Bikes                                     Bikes      
Mountain-200 Silver, 42                            Mountain Bikes                                     Bikes      
Mountain-200 Silver, 46                            Mountain Bikes                                     Bikes      
Mountain-200 Black, 38                             Mountain Bikes                                     Bikes      
Mountain-200 Black, 42                             Mountain Bikes                                     Bikes      
Mountain-200 Black, 46                             Mountain Bikes                                     Bikes      
Mountain-300 Black, 38                             Mountain Bikes                                     Bikes      
Mountain-300 Black, 40                             Mountain Bikes                                     Bikes      
Mountain-300 Black, 44                             Mountain Bikes                                     Bikes      
Mountain-300 Black, 48                             Mountain Bikes                                     Bikes      
Mountain-400-W Silver, 38                          Mountain Bikes                                     Bikes      
Mountain-400-W Silver, 40                          Mountain Bikes                                     Bikes      
Mountain-400-W Silver, 42                          Mountain Bikes                                     Bikes      
Mountain-400-W Silver, 46                          Mountain Bikes                                     Bikes      
Mountain-500 Silver, 40                            Mountain Bikes                                     Bikes      
Mountain-500 Silver, 42                            Mountain Bikes                                     Bikes      
Mountain-500 Silver, 44                            Mountain Bikes                                     Bikes      
Mountain-500 Silver, 48                            Mountain Bikes                                     Bikes      
Mountain-500 Silver, 52                            Mountain Bikes                                     Bikes      
Mountain-500 Black, 40                             Mountain Bikes                                     Bikes      
Mountain-500 Black, 42                             Mountain Bikes                                     Bikes      
Mountain-500 Black, 44                             Mountain Bikes                                     Bikes      
Mountain-500 Black, 48                             Mountain Bikes                                     Bikes      
Mountain-500 Black, 52                             Mountain Bikes                                     Bikes      
Road-350-W Yellow, 40                              Road Bikes                                         Bikes      
Road-350-W Yellow, 42                              Road Bikes                                         Bikes      
Road-350-W Yellow, 44                              Road Bikes                                         Bikes      
Road-350-W Yellow, 48                              Road Bikes                                         Bikes      
Road-750 Black, 58                                 Road Bikes                                         Bikes      
Road-750 Black, 44                                 Road Bikes                                         Bikes      
Road-750 Black, 48                                 Road Bikes                                         Bikes      
Road-750 Black, 52                                 Road Bikes                                         Bikes      
Road-250 Red, 44                                   Road Bikes                                         Bikes      
Road-250 Red, 48                                   Road Bikes                                         Bikes      
Road-250 Red, 52                                   Road Bikes                                         Bikes      
Road-250 Red, 58                                   Road Bikes                                         Bikes      
Road-250 Black, 44                                 Road Bikes                                         Bikes      
Road-250 Black, 48                                 Road Bikes                                         Bikes      
Road-250 Black, 52                                 Road Bikes                                         Bikes      
Road-250 Black, 58                                 Road Bikes                                         Bikes      
Road-550-W Yellow, 38                              Road Bikes                                         Bikes      
Road-550-W Yellow, 40                              Road Bikes                                         Bikes      
Road-550-W Yellow, 42                              Road Bikes                                         Bikes      
Road-550-W Yellow, 44                              Road Bikes                                         Bikes      
Road-550-W Yellow, 48                              Road Bikes                                         Bikes      
Road-150 Red, 62                                   Road Bikes                                         Bikes      
Road-150 Red, 44                                   Road Bikes                                         Bikes      
Road-150 Red, 48                                   Road Bikes                                         Bikes      
Road-150 Red, 52                                   Road Bikes                                         Bikes      
Road-150 Red, 56                                   Road Bikes                                         Bikes      
Road-450 Red, 58                                   Road Bikes                                         Bikes      
Road-450 Red, 60                                   Road Bikes                                         Bikes      
Road-450 Red, 44                                   Road Bikes                                         Bikes      
Road-450 Red, 48                                   Road Bikes                                         Bikes      
Road-450 Red, 52                                   Road Bikes                                         Bikes      
Road-650 Red, 58                                   Road Bikes                                         Bikes      
Road-650 Red, 60                                   Road Bikes                                         Bikes      
Road-650 Red, 62                                   Road Bikes                                         Bikes      
Road-650 Red, 44                                   Road Bikes                                         Bikes      
Road-650 Red, 48                                   Road Bikes                                         Bikes      
Road-650 Red, 52                                   Road Bikes                                         Bikes      
Road-650 Black, 58                                 Road Bikes                                         Bikes      
Road-650 Black, 60                                 Road Bikes                                         Bikes      
Road-650 Black, 62                                 Road Bikes                                         Bikes      
Road-650 Black, 44                                 Road Bikes                                         Bikes      
Road-650 Black, 48                                 Road Bikes                                         Bikes      
Road-650 Black, 52                                 Road Bikes                                         Bikes      
Touring-3000 Blue, 44                              Touring Bikes                                      Bikes      
Touring-3000 Blue, 50                              Touring Bikes                                      Bikes      
Touring-2000 Blue, 60                              Touring Bikes                                      Bikes      
Touring-1000 Yellow, 46                            Touring Bikes                                      Bikes      
Touring-1000 Yellow, 50                            Touring Bikes                                      Bikes      
Touring-1000 Yellow, 54                            Touring Bikes                                      Bikes      
Touring-1000 Yellow, 60                            Touring Bikes                                      Bikes      
Touring-3000 Blue, 54                              Touring Bikes                                      Bikes      
Touring-3000 Blue, 58                              Touring Bikes                                      Bikes      
Touring-3000 Blue, 62                              Touring Bikes                                      Bikes      
Touring-3000 Yellow, 44                            Touring Bikes                                      Bikes      
Touring-3000 Yellow, 50                            Touring Bikes                                      Bikes      
Touring-3000 Yellow, 54                            Touring Bikes                                      Bikes      
Touring-3000 Yellow, 58                            Touring Bikes                                      Bikes      
Touring-3000 Yellow, 62                            Touring Bikes                                      Bikes      
Touring-1000 Blue, 46                              Touring Bikes                                      Bikes      
Touring-1000 Blue, 50                              Touring Bikes                                      Bikes      
Touring-1000 Blue, 54                              Touring Bikes                                      Bikes      
Touring-1000 Blue, 60                              Touring Bikes                                      Bikes      
Touring-2000 Blue, 46                              Touring Bikes                                      Bikes      
Touring-2000 Blue, 50                              Touring Bikes                                      Bikes      
Touring-2000 Blue, 54                              Touring Bikes                                      Bikes      
LL Touring Handlebars                              Handlebars                                         Components 
HL Touring Handlebars                              Handlebars                                         Components 
LL Mountain Handlebars                             Handlebars                                         Components 
ML Mountain Handlebars                             Handlebars                                         Components 
HL Mountain Handlebars                             Handlebars                                         Components 
LL Road Handlebars                                 Handlebars                                         Components 
ML Road Handlebars                                 Handlebars                                         Components 
HL Road Handlebars                                 Handlebars                                         Components 
LL Bottom Bracket                                  Bottom Brackets                                    Components 
ML Bottom Bracket                                  Bottom Brackets                                    Components 
HL Bottom Bracket                                  Bottom Brackets                                    Components 
Front Brakes                                       Brakes                                             Components 
Rear Brakes                                        Brakes                                             Components 
Chain                                              Chains                                             Components 
LL Crankset                                        Cranksets                                          Components 
ML Crankset                                        Cranksets                                          Components 
HL Crankset                                        Cranksets                                          Components 
Front Derailleur                                   Derailleurs                                        Components 
Rear Derailleur                                    Derailleurs                                        Components 
LL Fork                                            Forks                                              Components 
ML Fork                                            Forks                                              Components 
HL Fork                                            Forks                                              Components 
LL Headset                                         Headsets                                           Components 
ML Headset                                         Headsets                                           Components 
HL Headset                                         Headsets                                           Components 
HL Mountain Frame - Silver, 42                     Mountain Frames                                    Components 
HL Mountain Frame - Silver, 44                     Mountain Frames                                    Components 
HL Mountain Frame - Silver, 48                     Mountain Frames                                    Components 
HL Mountain Frame - Silver, 46                     Mountain Frames                                    Components 
HL Mountain Frame - Black, 42                      Mountain Frames                                    Components 
HL Mountain Frame - Black, 44                      Mountain Frames                                    Components 
HL Mountain Frame - Black, 48                      Mountain Frames                                    Components 
HL Mountain Frame - Black, 46                      Mountain Frames                                    Components 
HL Mountain Frame - Black, 38                      Mountain Frames                                    Components 
HL Mountain Frame - Silver, 38                     Mountain Frames                                    Components 
ML Mountain Frame - Black, 38                      Mountain Frames                                    Components 
ML Mountain Frame - Black, 40                      Mountain Frames                                    Components 
ML Mountain Frame - Black, 44                      Mountain Frames                                    Components 
ML Mountain Frame - Black, 48                      Mountain Frames                                    Components 
LL Mountain Frame - Black, 42                      Mountain Frames                                    Components 
LL Mountain Frame - Black, 44                      Mountain Frames                                    Components 
LL Mountain Frame - Black, 48                      Mountain Frames                                    Components 
